Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.02.28 23:30:00,104589.11,104592.31,104501.20,104503.25,1800,80,0
2026.02.28 23:00:00,104525.17,104589.06,104525.17,104589.06,1800,80,0
2026.02.28 22:30:00,104589.56,104589.56,104511.67,104525.12,1774,80,0
2026.02.28 22:00:00,104655.91,104669.76,104584.04,104589.51,1800,80,0
2026.02.28 21:30:00,104715.61,104724.76,104631.42,104655.86,1801,80,0
2026.02.28 21:00:00,104658.05,104715.56,104644.01,104715.56,1800,80,0
2026.02.28 20:30:00,104628.25,104681.23,104628.25,104658.00,1800,80,0
2026.02.28 20:00:00,104583.64,104628.20,104580.12,104628.20,1800,80,0
2026.02.28 19:30:00,104537.66,104592.31,104537.66,104583.59,1800,80,0
2026.02.28 19:00:00,104554.29,104587.49,104536.26,104537.61,1676,80,0
2026.02.28 18:30:00,104496.08,104571.18,104496.08,104554.24,1800,80,0
2026.02.28 18:00:00,104473.88,104516.43,104463.93,104496.03,1800,80,0
2026.02.28 17:30:00,104472.97,104491.87,104441.75,104473.83,1800,80,0
2026.02.28 17:00:00,104459.02,104475.87,104413.62,104472.92,1801,80,0
2026.02.28 16:30:00,104384.51,104458.97,104384.51,104458.97,1800,80,0
2026.02.28 16:00:00,104354.08,104405.75,104354.08,104384.46,1800,80,0
2026.02.28 15:30:00,104392.84,104431.04,104352.48,104354.03,1800,80,0
2026.02.28 15:00:00,104393.20,104420.64,104360.94,104392.79,1800,80,0
2026.02.28 14:30:00,104447.41,104490.61,104388.65,104393.15,1800,80,0
2026.02.28 14:00:00,104426.77,104476.77,104408.61,104447.36,1800,80,0
2026.02.28 13:30:00,104431.49,104435.19,104359.67,104426.72,1800,80,0
2026.02.28 13:00:00,104436.88,104452.55,104413.70,104431.44,1800,80,0
2026.02.28 12:30:00,104401.96,104442.88,104389.28,104436.83,1800,80,0
2026.02.28 12:00:00,104401.49,104418.79,104375.14,104401.91,1800,80,0
2026.02.28 11:30:00,104366.29,104401.78,104365.04,104401.44,1800,80,0
2026.02.28 11:00:00,104425.94,104441.39,104347.85,104366.24,1800,80,0
2026.02.28 10:30:00,104384.09,104452.86,104380.96,104425.89,1800,80,0
2026.02.28 10:00:00,104418.59,104436.79,104361.29,104384.04,1800,80,0
2026.02.28 09:30:00,104487.47,104527.08,104406.89,104418.54,1800,80,0
2026.02.28 09:00:00,104435.95,104487.42,104415.62,104487.42,1800,80,0
2026.02.28 08:30:00,104539.90,104544.20,104428.55,104435.90,1800,80,0
2026.02.28 08:00:00,104563.42,104567.87,104509.15,104539.85,1800,80,0
2026.02.28 07:30:00,104604.38,104607.93,104517.67,104563.37,1801,80,0
2026.02.28 07:00:00,104560.58,104627.98,104560.58,104604.33,1800,80,0
2026.02.28 06:30:00,104542.11,104592.06,104523.43,104560.53,1800,80,0
2026.02.28 06:00:00,104558.47,104608.40,104538.71,104542.06,1800,80,0
2026.02.28 05:30:00,104468.47,104558.42,104468.47,104558.42,1800,80,0
2026.02.28 05:00:00,104484.53,104502.99,104460.23,104468.42,1800,80,0
2026.02.28 04:30:00,104466.24,104520.42,104466.24,104484.48,1800,80,0
2026.02.28 04:00:00,104512.37,104526.57,104430.02,104466.19,1800,80,0
2026.02.28 03:30:00,104493.65,104531.74,104489.14,104512.32,1800,80,0
