Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.02.28 23:56:00,106298.09,106307.65,106298.09,106307.65,240,96,0
2026.02.28 23:52:00,106288.49,106298.05,106288.49,106298.05,240,96,0
2026.02.28 23:48:00,106317.36,106320.72,106282.29,106288.45,240,96,0
2026.02.28 23:44:00,106307.76,106317.32,106307.76,106317.32,240,96,0
2026.02.28 23:40:00,106298.16,106307.72,106298.16,106307.72,240,96,0
2026.02.28 23:36:00,106288.56,106298.12,106288.56,106298.12,240,96,0
2026.02.28 23:32:00,106278.96,106288.52,106278.96,106288.52,240,96,0
2026.02.28 23:28:00,106269.36,106278.92,106269.36,106278.92,240,96,0
2026.02.28 23:24:00,106259.76,106269.32,106259.76,106269.32,240,96,0
2026.02.28 23:20:00,106275.83,106277.59,106251.96,106259.72,240,96,0
2026.02.28 23:16:00,106266.23,106275.79,106266.23,106275.79,240,96,0
2026.02.28 23:12:00,106256.63,106266.19,106256.63,106266.19,240,96,0
2026.02.28 23:08:00,106291.91,106294.75,106249.91,106256.59,240,96,0
2026.02.28 23:04:00,106353.03,106355.67,106285.99,106291.87,240,96,0
2026.02.28 23:00:00,106403.51,106412.47,106352.43,106352.99,240,96,0
2026.02.28 22:56:00,106393.91,106403.47,106393.91,106403.47,240,96,0
2026.02.28 22:52:00,106384.31,106393.87,106384.31,106393.87,240,96,0
2026.02.28 22:48:00,106374.83,106384.27,106374.83,106384.27,214,96,0
2026.02.28 22:44:00,106365.23,106374.79,106365.23,106374.79,240,96,0
2026.02.28 22:40:00,106355.63,106365.19,106355.63,106365.19,240,96,0
2026.02.28 22:36:00,106346.03,106355.59,106346.03,106355.59,240,96,0
2026.02.28 22:32:00,106380.56,106383.72,106339.63,106345.99,240,96,0
2026.02.28 22:28:00,106370.96,106380.52,106370.96,106380.52,240,96,0
2026.02.28 22:24:00,106361.36,106370.92,106361.36,106370.92,240,96,0
2026.02.28 22:20:00,106351.76,106361.32,106351.76,106361.32,240,96,0
2026.02.28 22:16:00,106342.16,106351.72,106342.16,106351.72,240,96,0
2026.02.28 22:12:00,106332.56,106342.12,106332.56,106342.12,240,96,0
2026.02.28 22:08:00,106322.96,106332.52,106322.96,106332.52,240,96,0
2026.02.28 22:04:00,106313.36,106322.92,106313.36,106322.92,240,96,0
2026.02.28 22:00:00,106369.02,106371.42,106306.88,106313.32,240,96,0
2026.02.28 21:56:00,106359.42,106368.98,106359.42,106368.98,240,96,0
2026.02.28 21:52:00,106349.82,106359.38,106349.82,106359.38,240,96,0
2026.02.28 21:48:00,106375.79,106384.55,106349.02,106349.78,240,96,0
2026.02.28 21:44:00,106366.19,106375.75,106366.19,106375.75,240,96,0
2026.02.28 21:40:00,106356.59,106366.15,106356.59,106366.15,240,96,0
2026.02.28 21:36:00,106346.95,106356.55,106346.95,106356.55,241,96,0
2026.02.28 21:32:00,106337.35,106346.91,106337.35,106346.91,240,96,0
2026.02.28 21:28:00,106327.75,106337.31,106327.75,106337.31,240,96,0
2026.02.28 21:24:00,106390.96,106393.12,106324.79,106327.71,240,96,0
2026.02.28 21:20:00,106421.60,106423.28,106383.08,106390.92,240,96,0
2026.02.28 21:16:00,106412.00,106421.56,106412.00,106421.56,240,96,0
2026.02.28 21:12:00,106402.40,106411.96,106402.40,106411.96,240,96,0
2026.02.28 21:08:00,106392.80,106402.36,106392.80,106402.36,240,96,0
2026.02.28 21:04:00,106453.37,106455.05,106387.96,106392.76,240,96,0
2026.02.28 21:00:00,106443.77,106453.33,106443.77,106453.33,240,96,0
2026.02.28 20:56:00,106434.17,106443.73,106434.17,106443.73,240,96,0
2026.02.28 20:52:00,106424.57,106434.13,106424.57,106434.13,240,96,0
2026.02.28 20:48:00,106414.97,106424.53,106414.97,106424.53,240,96,0
2026.02.28 20:44:00,106405.37,106414.93,106405.37,106414.93,240,96,0
2026.02.28 20:40:00,106395.77,106405.33,106395.77,106405.33,240,96,0
2026.02.28 20:36:00,106386.17,106395.73,106386.17,106395.73,240,96,0
2026.02.28 20:32:00,106376.57,106386.13,106376.57,106386.13,240,96,0
2026.02.28 20:28:00,106366.97,106376.53,106366.97,106376.53,240,96,0
2026.02.28 20:24:00,106357.37,106366.93,106357.37,106366.93,240,96,0
2026.02.28 20:20:00,106373.76,106382.12,106356.17,106357.33,240,96,0
2026.02.28 20:16:00,106424.60,106432.60,106372.20,106373.72,240,96,0
2026.02.28 20:12:00,106415.00,106424.56,106415.00,106424.56,240,96,0
2026.02.28 20:08:00,106405.40,106414.96,106405.40,106414.96,240,96,0
2026.02.28 20:04:00,106395.80,106405.36,106395.80,106405.36,240,96,0
2026.02.28 20:00:00,106429.93,106432.01,106388.32,106395.76,240,96,0
2026.02.28 19:56:00,106420.33,106429.89,106420.33,106429.89,240,96,0
2026.02.28 19:52:00,106449.20,106456.76,106418.33,106420.29,240,96,0
2026.02.28 19:48:00,106439.60,106449.16,106439.60,106449.16,240,96,0
2026.02.28 19:44:00,106430.00,106439.56,106430.00,106439.56,240,96,0
2026.02.28 19:40:00,106420.40,106429.96,106420.40,106429.96,240,96,0
2026.02.28 19:36:00,106410.80,106420.36,106410.80,106420.36,240,96,0
2026.02.28 19:32:00,106401.20,106410.76,106401.20,106410.76,240,96,0
2026.02.28 19:28:00,106391.60,106401.16,106391.60,106401.16,240,96,0
2026.02.28 19:24:00,106382.00,106391.56,106382.00,106391.56,240,96,0
2026.02.28 19:20:00,106372.40,106381.96,106372.40,106381.96,240,96,0
2026.02.28 19:16:00,106367.08,106372.36,106367.08,106372.36,115,96,0
2026.02.28 19:12:00,106387.70,106393.98,106363.80,106367.04,240,96,0
2026.02.28 19:08:00,106378.10,106387.66,106378.10,106387.66,240,96,0
2026.02.28 19:04:00,106368.50,106378.06,106368.50,106378.06,240,96,0
2026.02.28 19:00:00,106379.11,106385.35,106365.18,106368.46,240,96,0
2026.02.28 18:56:00,106414.38,106419.62,106378.63,106379.07,240,96,0
2026.02.28 18:52:00,106404.78,106414.34,106404.78,106414.34,240,96,0
2026.02.28 18:48:00,106395.18,106404.74,106395.18,106404.74,240,96,0
2026.02.28 18:44:00,106385.58,106395.14,106385.58,106395.14,240,96,0
2026.02.28 18:40:00,106375.98,106385.54,106375.98,106385.54,240,96,0
2026.02.28 18:36:00,106366.38,106375.94,106366.38,106375.94,240,96,0
2026.02.28 18:32:00,106414.73,106423.49,106365.58,106366.34,240,96,0
2026.02.28 18:28:00,106405.13,106414.69,106405.13,106414.69,240,96,0
2026.02.28 18:24:00,106440.44,106445.64,106400.77,106405.09,240,96,0
2026.02.28 18:20:00,106430.84,106440.40,106430.84,106440.40,240,96,0
2026.02.28 18:16:00,106421.24,106430.80,106421.24,106430.80,240,96,0
2026.02.28 18:12:00,106411.64,106421.20,106411.64,106421.20,240,96,0
2026.02.28 18:08:00,106402.04,106411.60,106402.04,106411.60,240,96,0
2026.02.28 18:04:00,106392.44,106402.00,106392.44,106402.00,240,96,0
2026.02.28 18:00:00,106382.84,106392.40,106382.84,106392.40,240,96,0
2026.02.28 17:56:00,106373.24,106382.80,106373.24,106382.80,240,96,0
2026.02.28 17:52:00,106363.64,106373.20,106363.64,106373.20,240,96,0
2026.02.28 17:48:00,106354.04,106363.60,106354.04,106363.60,240,96,0
2026.02.28 17:44:00,106421.15,106422.95,106353.72,106354.00,240,96,0
2026.02.28 17:40:00,106411.55,106421.11,106411.55,106421.11,240,96,0
2026.02.28 17:36:00,106424.90,106424.98,106402.07,106411.51,240,96,0
2026.02.28 17:32:00,106415.30,106424.86,106415.30,106424.86,240,96,0
2026.02.28 17:28:00,106456.54,106457.90,106407.10,106415.26,240,96,0
2026.02.28 17:24:00,106446.94,106456.50,106446.94,106456.50,240,96,0
2026.02.28 17:20:00,106462.13,106464.65,106439.90,106446.90,240,96,0
2026.02.28 17:16:00,106452.53,106462.09,106452.53,106462.09,240,96,0
2026.02.28 17:12:00,106442.93,106452.49,106442.93,106452.49,240,96,0
2026.02.28 17:08:00,106433.33,106442.89,106433.33,106442.89,240,96,0
2026.02.28 17:04:00,106423.73,106433.29,106423.73,106433.29,240,96,0
2026.02.28 17:00:00,106414.09,106423.69,106414.09,106423.69,241,96,0
2026.02.28 16:56:00,106404.49,106414.05,106404.49,106414.05,240,96,0
2026.02.28 16:52:00,106394.89,106404.45,106394.89,106404.45,240,96,0
2026.02.28 16:48:00,106385.29,106394.85,106385.29,106394.85,240,96,0
2026.02.28 16:44:00,106425.80,106427.96,106377.89,106385.25,240,96,0
2026.02.28 16:40:00,106416.20,106425.76,106416.20,106425.76,240,96,0
2026.02.28 16:36:00,106406.60,106416.16,106406.60,106416.16,240,96,0
2026.02.28 16:32:00,106397.00,106406.56,106397.00,106406.56,240,96,0
2026.02.28 16:28:00,106425.44,106430.72,106392.72,106396.96,240,96,0
2026.02.28 16:24:00,106415.84,106425.40,106415.84,106425.40,240,96,0
2026.02.28 16:20:00,106406.24,106415.80,106406.24,106415.80,240,96,0
2026.02.28 16:16:00,106396.64,106406.20,106396.64,106406.20,240,96,0
2026.02.28 16:12:00,106387.04,106396.60,106387.04,106396.60,240,96,0
2026.02.28 16:08:00,106377.44,106387.00,106377.44,106387.00,240,96,0
2026.02.28 16:04:00,106367.84,106377.40,106367.84,106377.40,240,96,0
2026.02.28 16:00:00,106358.24,106367.80,106358.24,106367.80,240,96,0
2026.02.28 15:56:00,106348.64,106358.20,106348.64,106358.20,240,96,0
2026.02.28 15:52:00,106339.04,106348.60,106339.04,106348.60,240,96,0
2026.02.28 15:48:00,106329.44,106339.00,106329.44,106339.00,240,96,0
2026.02.28 15:44:00,106319.84,106329.40,106319.84,106329.40,240,96,0
2026.02.28 15:40:00,106404.53,106408.69,106314.80,106319.80,240,96,0
2026.02.28 15:36:00,106394.93,106404.49,106394.93,106404.49,240,96,0
2026.02.28 15:32:00,106385.33,106394.89,106385.33,106394.89,240,96,0
2026.02.28 15:28:00,106375.73,106385.29,106375.73,106385.29,240,96,0
2026.02.28 15:24:00,106366.13,106375.69,106366.13,106375.69,240,96,0
2026.02.28 15:20:00,106356.53,106366.09,106356.53,106366.09,240,96,0
2026.02.28 15:16:00,106346.93,106356.49,106346.93,106356.49,240,96,0
2026.02.28 15:12:00,106337.33,106346.89,106337.33,106346.89,240,96,0
2026.02.28 15:08:00,106327.73,106337.29,106327.73,106337.29,240,96,0
2026.02.28 15:04:00,106318.13,106327.69,106318.13,106327.69,240,96,0
2026.02.28 15:00:00,106308.53,106318.09,106308.53,106318.09,240,96,0
2026.02.28 14:56:00,106298.93,106308.49,106298.93,106308.49,240,96,0
2026.02.28 14:52:00,106289.33,106298.89,106289.33,106298.89,240,96,0
2026.02.28 14:48:00,106279.73,106289.29,106279.73,106289.29,240,96,0
2026.02.28 14:44:00,106270.13,106279.69,106270.13,106279.69,240,96,0
2026.02.28 14:40:00,106260.53,106270.09,106260.53,106270.09,240,96,0
2026.02.28 14:36:00,106296.15,106298.99,106253.81,106260.49,240,96,0
2026.02.28 14:32:00,106286.55,106296.11,106286.55,106296.11,240,96,0
2026.02.28 14:28:00,106276.95,106286.51,106276.95,106286.51,240,96,0
2026.02.28 14:24:00,106267.35,106276.91,106267.35,106276.91,240,96,0
2026.02.28 14:20:00,106257.75,106267.31,106257.75,106267.31,240,96,0
2026.02.28 14:16:00,106248.15,106257.71,106248.15,106257.71,240,96,0
2026.02.28 14:12:00,106259.75,106266.43,106245.27,106248.11,240,96,0
2026.02.28 14:08:00,106250.15,106259.71,106250.15,106259.71,240,96,0
2026.02.28 14:04:00,106240.55,106250.11,106240.55,106250.11,240,96,0
2026.02.28 14:00:00,106230.95,106240.51,106230.95,106240.51,240,96,0
2026.02.28 13:56:00,106221.35,106230.91,106221.35,106230.91,240,96,0
2026.02.28 13:52:00,106211.75,106221.31,106211.75,106221.31,240,96,0
2026.02.28 13:48:00,106202.15,106211.71,106202.15,106211.71,240,96,0
2026.02.28 13:44:00,106192.55,106202.11,106192.55,106202.11,240,96,0
2026.02.28 13:40:00,106182.95,106192.51,106182.95,106192.51,240,96,0
2026.02.28 13:36:00,106173.35,106182.91,106173.35,106182.91,240,96,0
2026.02.28 13:32:00,106163.75,106173.31,106163.75,106173.31,240,96,0
2026.02.28 13:28:00,106154.15,106163.71,106154.15,106163.71,240,96,0
2026.02.28 13:24:00,106175.52,106179.92,106148.99,106154.11,240,96,0
2026.02.28 13:20:00,106165.92,106175.48,106165.92,106175.48,240,96,0
2026.02.28 13:16:00,106156.32,106165.88,106156.32,106165.88,240,96,0
2026.02.28 13:12:00,106146.72,106156.28,106146.72,106156.28,240,96,0
2026.02.28 13:08:00,106137.12,106146.68,106137.12,106146.68,240,96,0
2026.02.28 13:04:00,106127.52,106137.08,106127.52,106137.08,240,96,0
2026.02.28 13:00:00,106117.92,106127.48,106117.92,106127.48,240,96,0
2026.02.28 12:56:00,106108.32,106117.88,106108.32,106117.88,240,96,0
2026.02.28 12:52:00,106098.72,106108.28,106098.72,106108.28,240,96,0
2026.02.28 12:48:00,106089.12,106098.68,106089.12,106098.68,240,96,0
2026.02.28 12:44:00,106079.52,106089.08,106079.52,106089.08,240,96,0
2026.02.28 12:40:00,106069.92,106079.48,106069.92,106079.48,240,96,0
2026.02.28 12:36:00,106060.32,106069.88,106060.32,106069.88,240,96,0
2026.02.28 12:32:00,106050.72,106060.28,106050.72,106060.28,240,96,0
2026.02.28 12:28:00,106041.12,106050.68,106041.12,106050.68,240,96,0
2026.02.28 12:24:00,106031.52,106041.08,106031.52,106041.08,240,96,0
2026.02.28 12:20:00,106067.29,106075.61,106030.28,106031.48,240,96,0
2026.02.28 12:16:00,106057.69,106067.25,106057.69,106067.25,240,96,0
2026.02.28 12:12:00,106048.09,106057.65,106048.09,106057.65,240,96,0
2026.02.28 12:08:00,106038.49,106048.05,106038.49,106048.05,240,96,0
2026.02.28 12:04:00,106028.89,106038.45,106028.89,106038.45,240,96,0
2026.02.28 12:00:00,106019.29,106028.85,106019.29,106028.85,240,96,0
2026.02.28 11:56:00,106009.69,106019.25,106009.69,106019.25,240,96,0
2026.02.28 11:52:00,106000.09,106009.65,106000.09,106009.65,240,96,0
2026.02.28 11:48:00,105990.49,106000.05,105990.49,106000.05,240,96,0
2026.02.28 11:44:00,105980.89,105990.45,105980.89,105990.45,240,96,0
2026.02.28 11:40:00,106007.93,106015.93,105979.33,105980.85,240,96,0
2026.02.28 11:36:00,105998.33,106007.89,105998.33,106007.89,240,96,0
2026.02.28 11:32:00,105988.73,105998.29,105988.73,105998.29,240,96,0
2026.02.28 11:28:00,105979.13,105988.69,105979.13,105988.69,240,96,0
2026.02.28 11:24:00,105969.53,105979.09,105969.53,105979.09,240,96,0
2026.02.28 11:20:00,105959.93,105969.49,105959.93,105969.49,240,96,0
2026.02.28 11:16:00,105950.33,105959.89,105950.33,105959.89,240,96,0
2026.02.28 11:12:00,105940.73,105950.29,105940.73,105950.29,240,96,0
2026.02.28 11:08:00,105931.13,105940.69,105931.13,105940.69,240,96,0
2026.02.28 11:04:00,105921.53,105931.09,105921.53,105931.09,240,96,0
2026.02.28 11:00:00,105911.93,105921.49,105911.93,105921.49,240,96,0
2026.02.28 10:56:00,105902.33,105911.89,105902.33,105911.89,240,96,0
2026.02.28 10:52:00,105892.73,105902.29,105892.73,105902.29,240,96,0
2026.02.28 10:48:00,105883.13,105892.69,105883.13,105892.69,240,96,0
2026.02.28 10:44:00,105873.53,105883.09,105873.53,105883.09,240,96,0
2026.02.28 10:40:00,105920.74,105922.22,105865.45,105873.49,240,96,0
2026.02.28 10:36:00,105911.14,105920.70,105911.14,105920.70,240,96,0
2026.02.28 10:32:00,105901.54,105911.10,105901.54,105911.10,240,96,0
2026.02.28 10:28:00,105891.94,105901.50,105891.94,105901.50,240,96,0
