Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.02.28 12:00:00,95455.11,95607.22,95315.63,95350.84,43052,78,0
2026.02.28 00:00:00,95742.95,95826.75,95375.13,95455.05,43201,78,0
2026.02.27 12:00:00,95507.64,95817.67,95476.46,95742.89,43201,78,0
2026.02.27 00:00:00,95329.69,95646.04,95297.28,95507.58,43200,78,0
2026.02.26 12:00:00,95379.00,95551.97,95252.80,95329.63,43200,78,0
2026.02.26 00:00:00,95361.08,95478.49,95304.18,95378.94,43195,78,0
2026.02.25 12:00:00,95400.91,95479.65,95212.82,95361.02,43202,78,0
2026.02.25 00:00:00,95526.52,95555.33,95169.61,95400.85,43201,78,0
2026.02.24 12:00:00,95714.43,95771.31,95489.05,95526.46,43201,78,0
2026.02.24 00:00:00,95393.51,95911.24,95393.51,95714.37,43201,78,0
2026.02.23 12:00:00,94715.34,95393.45,94707.88,95393.45,43201,78,0
2026.02.23 00:00:00,94795.48,95083.66,94704.85,94715.28,43098,78,0
2026.02.22 12:00:00,94720.04,94795.42,94430.38,94795.42,42805,78,0
2026.02.22 00:00:00,94677.35,94908.36,94566.92,94719.98,42601,78,0
2026.02.21 12:00:00,94528.43,94800.39,94442.48,94677.29,42468,78,0
2026.02.21 00:00:00,94377.67,94677.11,94292.06,94528.37,43202,78,0
2026.02.20 12:00:00,94273.59,94427.40,94162.43,94377.61,43201,78,0
2026.02.20 00:00:00,94529.68,94621.24,94221.79,94273.53,43199,78,0
2026.02.19 12:00:00,94280.94,94563.14,94267.19,94529.62,43202,78,0
2026.02.19 00:00:00,94206.00,94313.42,93905.78,94280.88,43201,78,0
2026.02.18 12:00:00,93831.95,94258.65,93810.70,94205.94,43201,78,0
2026.02.18 00:00:00,93981.31,94004.88,93652.76,93831.89,43202,78,0
2026.02.17 12:00:00,93875.94,94130.37,93826.07,93981.25,43201,78,0
2026.02.17 00:00:00,93611.34,94183.90,93590.22,93875.88,43201,78,0
2026.02.16 12:00:00,93945.81,94192.34,93591.49,93611.28,43201,78,0
2026.02.16 00:00:00,94179.44,94336.33,93839.80,93945.75,43201,78,0
2026.02.15 12:00:00,93914.60,94236.70,93791.97,94179.38,43200,78,0
2026.02.15 00:00:00,93784.11,93999.01,93645.67,93914.54,42469,78,0
2026.02.14 12:00:00,93493.49,93819.70,93466.49,93784.05,43186,78,0
2026.02.14 00:00:00,93203.39,93514.27,93129.42,93493.43,43200,78,0
2026.02.13 12:00:00,93394.36,93466.67,93161.34,93203.33,43200,78,0
2026.02.13 00:00:00,93335.61,93413.22,93225.79,93394.30,43200,78,0
2026.02.12 12:00:00,93355.28,93595.99,93276.87,93335.55,43200,78,0
2026.02.12 00:00:00,93207.93,93547.10,93168.42,93355.22,43200,78,0
2026.02.11 12:00:00,93403.40,93411.68,92859.66,93207.87,43200,78,0
2026.02.11 00:00:00,93084.49,93472.18,93084.49,93403.34,43201,78,0
2026.02.10 12:00:00,93301.88,93322.23,92977.64,93084.43,43200,78,0
2026.02.10 00:00:00,93371.40,93377.58,92990.70,93301.82,43200,78,0
2026.02.09 12:00:00,92904.01,93445.13,92807.35,93371.34,43198,78,0
2026.02.09 00:00:00,92737.29,92955.28,92654.47,92903.95,43200,78,0
2026.02.08 12:00:00,93088.73,93128.02,92697.75,92737.23,43189,78,0
2026.02.08 00:00:00,92673.25,93093.28,92623.11,93088.67,42535,78,0
2026.02.07 12:00:00,92478.22,92834.63,92380.88,92673.19,42984,78,0
2026.02.07 00:00:00,92453.13,92575.10,92311.96,92478.16,43200,78,0
2026.02.06 12:00:00,92790.99,92818.36,92415.29,92453.07,43200,78,0
2026.02.06 00:00:00,93117.18,93180.59,92765.99,92790.93,43200,78,0
2026.02.05 12:00:00,92626.18,93201.24,92595.83,93117.12,43200,78,0
2026.02.05 00:00:00,92644.97,92810.38,92454.53,92626.12,43200,78,0
2026.02.04 12:00:00,92967.34,92977.36,92479.93,92644.91,43200,78,0
2026.02.04 00:00:00,92495.33,92975.31,92397.93,92967.28,43201,78,0
2026.02.03 12:00:00,92480.05,92830.77,92406.05,92495.27,43200,78,0
2026.02.03 00:00:00,92802.71,92953.02,92463.73,92479.99,43200,78,0
2026.02.02 12:00:00,92897.89,93007.83,92561.80,92802.65,43200,78,0
2026.02.02 00:00:00,92980.89,93154.38,92740.44,92897.83,43200,78,0
2026.02.01 12:00:00,93185.29,93236.53,92935.78,92980.83,43134,78,0
2026.02.01 00:00:00,92737.59,93254.83,92712.45,93185.23,43138,78,0
