Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.03.01 00:00:00,93053.25,93491.17,92676.55,93471.72,517997,45,0
2026.02.01 00:00:00,95108.62,95459.20,92946.33,93053.23,2415475,45,0
2026.01.01 00:00:00,95988.85,96141.53,94888.09,95108.60,2677750,45,0
2025.12.01 00:00:00,95442.79,97075.41,94954.37,95988.83,2677678,45,0
2025.11.01 00:00:00,95767.14,95803.04,94008.20,95442.77,2590807,45,0
2025.10.01 00:00:00,94519.77,95903.01,94050.05,95767.12,2670293,45,0
2025.09.01 00:00:00,95787.18,95974.07,93862.09,94519.75,2569600,45,0
2025.08.01 00:00:00,95484.75,96650.14,94606.94,95787.16,2677479,45,0
2025.07.01 00:00:00,94706.73,95537.75,94321.71,95484.73,2678042,45,0
2025.06.01 00:00:00,93753.38,95078.05,93039.77,94706.71,2590827,45,0
2025.05.01 00:00:00,94134.87,94879.90,93721.52,93753.36,2677661,45,0
2025.04.01 00:00:00,95259.55,95858.30,93996.68,94134.85,2591000,45,0
2025.03.01 00:00:00,94941.76,96212.17,94141.85,95259.53,2670688,30,0
2025.02.01 00:00:00,96321.56,96703.01,94731.79,94941.74,2417911,30,0
2025.01.01 00:00:00,95301.13,96671.86,94594.49,96321.54,2677193,30,0
2024.12.01 00:00:00,96464.71,96754.08,94910.39,95301.11,2677572,30,0
2024.11.01 00:00:00,96011.44,97496.71,95630.01,96464.69,2589243,30,0
2024.10.01 00:00:00,96399.98,96811.17,94699.13,96011.42,2667798,30,0
2024.09.01 00:00:00,96235.18,96875.32,95684.08,96399.96,2581944,30,0
2024.08.01 00:00:00,95316.81,96343.40,95106.71,96235.16,2676917,30,0
2024.07.01 00:00:00,96864.26,96875.42,94718.40,95316.79,2677736,30,0
2024.06.01 00:00:00,95368.86,96975.54,95118.11,96864.24,2591026,30,0
2024.05.01 00:00:00,95095.88,96087.90,94742.30,95368.84,2676917,30,0
2024.04.01 00:00:00,96562.34,96737.63,94785.76,95095.86,2589226,20,0
2024.03.01 00:00:00,97671.71,98200.98,95409.38,96562.32,4124224,0,0
2024.02.01 00:00:00,98880.63,99812.25,97236.17,97671.69,10006913,0,0
2024.01.01 00:00:00,100000.00,100304.50,97861.56,98880.61,10673217,0,0
