Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.03.07 00:00:00,93466.66,93471.68,93466.66,93471.68,252,45,0
2026.03.06 23:50:00,93469.02,93470.04,93455.70,93466.64,600,45,0
2026.03.06 23:40:00,93457.02,93469.00,93457.02,93469.00,600,45,0
2026.03.06 23:30:00,93480.51,93491.17,93455.70,93457.00,600,45,0
2026.03.06 23:20:00,93468.51,93480.49,93468.51,93480.49,600,45,0
2026.03.06 23:10:00,93456.51,93468.49,93456.51,93468.49,600,45,0
2026.03.06 23:00:00,93444.51,93456.49,93444.51,93456.49,600,45,0
2026.03.06 22:50:00,93432.51,93444.49,93432.51,93444.49,600,45,0
2026.03.06 22:40:00,93420.51,93432.49,93420.51,93432.49,600,45,0
2026.03.06 22:30:00,93408.51,93420.49,93408.51,93420.49,600,45,0
2026.03.06 22:20:00,93396.51,93408.49,93396.51,93408.49,600,45,0
2026.03.06 22:10:00,93384.49,93396.49,93384.49,93396.49,601,45,0
2026.03.06 22:00:00,93372.49,93384.47,93372.49,93384.47,600,45,0
2026.03.06 21:50:00,93360.49,93372.47,93360.49,93372.47,600,45,0
2026.03.06 21:40:00,93348.49,93360.47,93348.49,93360.47,600,45,0
2026.03.06 21:30:00,93336.49,93348.47,93336.49,93348.47,600,45,0
2026.03.06 21:20:00,93324.49,93336.47,93324.49,93336.47,600,45,0
2026.03.06 21:10:00,93333.66,93334.46,93313.31,93324.47,600,45,0
2026.03.06 21:00:00,93321.66,93333.64,93321.66,93333.64,600,45,0
2026.03.06 20:50:00,93309.66,93321.64,93309.66,93321.64,600,45,0
2026.03.06 20:40:00,93315.24,93317.86,93300.30,93309.64,600,45,0
2026.03.06 20:30:00,93303.24,93315.22,93303.24,93315.22,600,45,0
2026.03.06 20:20:00,93291.24,93303.22,93291.24,93303.22,600,45,0
2026.03.06 20:10:00,93279.24,93291.22,93279.24,93291.22,600,45,0
2026.03.06 20:00:00,93267.24,93279.22,93267.24,93279.22,600,45,0
2026.03.06 19:50:00,93255.24,93267.22,93255.24,93267.22,600,45,0
2026.03.06 19:40:00,93259.52,93263.16,93246.90,93255.22,600,45,0
2026.03.06 19:30:00,93247.52,93259.50,93247.52,93259.50,600,45,0
2026.03.06 19:20:00,93255.63,93265.63,93245.54,93247.50,600,45,0
2026.03.06 19:10:00,93243.63,93255.61,93243.63,93255.61,600,45,0
2026.03.06 19:00:00,93231.63,93243.61,93231.63,93243.61,600,45,0
2026.03.06 18:50:00,93236.57,93243.47,93226.55,93231.61,600,45,0
2026.03.06 18:40:00,93224.57,93236.55,93224.57,93236.55,600,45,0
2026.03.06 18:30:00,93236.02,93247.30,93223.87,93224.55,600,45,0
2026.03.06 18:20:00,93224.02,93236.00,93224.02,93236.00,600,45,0
2026.03.06 18:10:00,93212.02,93224.00,93212.02,93224.00,600,45,0
2026.03.06 18:00:00,93200.02,93212.00,93200.02,93212.00,600,45,0
2026.03.06 17:50:00,93188.02,93200.00,93188.02,93200.00,600,45,0
2026.03.06 17:40:00,93176.02,93188.00,93176.02,93188.00,600,45,0
2026.03.06 17:30:00,93164.02,93176.00,93164.02,93176.00,600,45,0
2026.03.06 17:20:00,93185.69,93196.25,93162.60,93164.00,600,45,0
2026.03.06 17:10:00,93197.16,93202.62,93179.17,93185.67,600,45,0
2026.03.06 17:00:00,93207.94,93211.84,93189.08,93197.14,600,45,0
2026.03.06 16:50:00,93195.94,93207.92,93195.94,93207.92,600,45,0
2026.03.06 16:40:00,93235.39,93237.91,93192.08,93195.92,600,45,0
2026.03.06 16:30:00,93223.39,93235.37,93223.39,93235.37,600,45,0
2026.03.06 16:20:00,93211.39,93223.37,93211.39,93223.37,600,45,0
2026.03.06 16:10:00,93229.88,93237.38,93206.91,93211.37,600,45,0
2026.03.06 16:00:00,93217.88,93229.86,93217.88,93229.86,600,45,0
2026.03.06 15:50:00,93218.49,93228.35,93215.76,93217.86,600,45,0
2026.03.06 15:40:00,93223.43,93225.03,93208.11,93218.47,600,45,0
2026.03.06 15:30:00,93262.04,93268.02,93221.79,93223.41,600,45,0
2026.03.06 15:20:00,93250.04,93262.02,93250.04,93262.02,600,45,0
2026.03.06 15:10:00,93238.04,93250.02,93238.04,93250.02,600,45,0
2026.03.06 15:00:00,93226.04,93238.02,93226.04,93238.02,600,45,0
2026.03.06 14:50:00,93214.04,93226.02,93214.04,93226.02,600,45,0
2026.03.06 14:40:00,93226.77,93234.65,93209.94,93214.02,600,45,0
2026.03.06 14:30:00,93214.77,93226.75,93214.77,93226.75,600,45,0
2026.03.06 14:20:00,93202.77,93214.75,93202.77,93214.75,600,45,0
2026.03.06 14:10:00,93286.29,93291.35,93201.21,93202.75,600,45,0
2026.03.06 14:00:00,93305.18,93308.42,93282.31,93286.27,600,45,0
2026.03.06 13:50:00,93293.18,93305.16,93293.18,93305.16,600,45,0
2026.03.06 13:40:00,93311.07,93317.85,93287.98,93293.16,600,45,0
2026.03.06 13:30:00,93299.07,93311.05,93299.07,93311.05,600,45,0
2026.03.06 13:20:00,93287.07,93299.05,93287.07,93299.05,600,45,0
2026.03.06 13:10:00,93275.07,93287.05,93275.07,93287.05,600,45,0
2026.03.06 13:00:00,93263.05,93275.05,93263.05,93275.05,601,45,0
2026.03.06 12:50:00,93292.14,93296.84,93261.91,93263.03,600,45,0
2026.03.06 12:40:00,93280.14,93292.12,93280.14,93292.12,600,45,0
2026.03.06 12:30:00,93268.14,93280.12,93268.14,93280.12,600,45,0
2026.03.06 12:20:00,93256.14,93268.12,93256.14,93268.12,600,45,0
2026.03.06 12:10:00,93278.79,93281.05,93246.42,93256.12,600,45,0
2026.03.06 12:00:00,93304.98,93313.50,93277.43,93278.77,600,45,0
2026.03.06 11:50:00,93292.98,93304.96,93292.98,93304.96,600,45,0
2026.03.06 11:40:00,93280.98,93292.96,93280.98,93292.96,600,45,0
2026.03.06 11:30:00,93268.98,93280.96,93268.98,93280.96,600,45,0
2026.03.06 11:20:00,93256.98,93268.96,93256.98,93268.96,600,45,0
2026.03.06 11:10:00,93275.65,93281.39,93250.74,93256.96,600,45,0
2026.03.06 11:00:00,93282.03,93287.83,93269.47,93275.63,600,45,0
2026.03.06 10:50:00,93270.03,93282.01,93270.03,93282.01,600,45,0
2026.03.06 10:40:00,93308.22,93311.46,93267.53,93270.01,600,45,0
2026.03.06 10:30:00,93349.42,93353.36,93300.18,93308.20,600,45,0
2026.03.06 10:20:00,93337.42,93349.40,93337.42,93349.40,600,45,0
2026.03.06 10:10:00,93325.42,93337.40,93325.42,93337.40,600,45,0
2026.03.06 10:00:00,93313.42,93325.40,93313.42,93325.40,600,45,0
2026.03.06 09:50:00,93301.42,93313.40,93301.42,93313.40,600,45,0
2026.03.06 09:40:00,93306.95,93310.29,93292.78,93301.40,600,45,0
2026.03.06 09:30:00,93294.95,93306.93,93294.95,93306.93,600,45,0
2026.03.06 09:20:00,93282.95,93294.93,93282.95,93294.93,600,45,0
2026.03.06 09:10:00,93270.95,93282.93,93270.95,93282.93,600,45,0
2026.03.06 09:00:00,93296.28,93305.20,93267.89,93270.93,600,45,0
2026.03.06 08:50:00,93284.28,93296.26,93284.28,93296.26,600,45,0
2026.03.06 08:40:00,93294.00,93305.60,93283.90,93284.26,600,45,0
2026.03.06 08:30:00,93305.21,93308.41,93285.22,93293.98,600,45,0
2026.03.06 08:20:00,93314.52,93319.98,93298.69,93305.19,600,45,0
2026.03.06 08:10:00,93315.87,93323.81,93310.48,93314.50,600,45,0
2026.03.06 08:00:00,93332.28,93339.26,93322.93,93327.91,600,45,0
2026.03.06 07:50:00,93359.66,93364.96,93330.70,93332.26,600,45,0
2026.03.06 07:40:00,93360.59,93367.61,93354.70,93359.64,600,45,0
2026.03.06 07:30:00,93348.59,93360.57,93348.59,93360.57,600,45,0
2026.03.06 07:20:00,93336.59,93348.57,93336.59,93348.57,600,45,0
2026.03.06 07:10:00,93324.59,93336.57,93324.59,93336.57,600,45,0
2026.03.06 07:00:00,93332.05,93332.65,93313.21,93324.57,600,45,0
2026.03.06 06:50:00,93320.05,93332.03,93320.05,93332.03,600,45,0
2026.03.06 06:40:00,93326.74,93327.62,93308.95,93320.03,600,45,0
2026.03.06 06:30:00,93364.20,93366.96,93321.92,93326.72,600,45,0
2026.03.06 06:20:00,93352.20,93364.18,93352.20,93364.18,600,45,0
2026.03.06 06:10:00,93340.20,93352.18,93340.20,93352.18,600,45,0
2026.03.06 06:00:00,93328.20,93340.18,93328.20,93340.18,600,45,0
2026.03.06 05:50:00,93368.31,93373.55,93324.38,93328.18,600,45,0
2026.03.06 05:40:00,93356.31,93368.29,93356.31,93368.29,600,45,0
2026.03.06 05:30:00,93370.39,93377.67,93351.61,93356.29,600,45,0
